Habitat Type,Habitat Group,Distinctiveness Category,Distinctiveness Score,Technical Difficulty Creation,Technical Difficulty Creation Multiplier,Technical Difficulty Enhancement,Technical Difficulty Enhancement Multiplier,Good Condition Score,Fairly Good Condition Score,Moderate Condition Score,Fairly Poor Condition Score,Poor Condition Score,Good Time To Target,Fairly Good Time To Target,Moderate Time To Target,Fairly Poor Time To Target,Poor Time To Target,Condition Assessment N/A Time To Target,N/A - Other Time To Target
Ground based green wall,Urban,Low,2,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Ground level planters,Urban,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Biodiverse green roof,Urban,Medium,4,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,10,8,5,3,1,Not Possible,Not Possible
Introduced shrub,Urban,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Open mosaic habitats on previously developed land,Urban,High,6,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,10,7,4,2,0,Not Possible,Not Possible
Rain garden,Urban,Low,2,Low,1,Low,1,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Actively worked sand pit quarry or open cast mine,Urban,Low,2,Medium,0.67,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Urban tree,Individual trees,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,30+,30+,27,19,10,Not Possible,Not Possible
Sustainable drainage system,Urban,Low,2,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Unvegetated garden,Urban,V.Low,0,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,0
Vacant or derelict land,Urban,Low,2,Low,1,Low,1,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Bare ground,Urban,Low,2,Low,1,Low,1,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Vegetated garden,Urban,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Blanket bog,Wetland,V.High,8,Very High,0.1,High,0.33,3,2.5,2,1.5,1,30+,30+,30+,30+,30+,Not Possible,Not Possible
Depressions on peat substrates (H7150),Wetland,V.High,8,Very High,0.1,High,0.33,3,2.5,2,1.5,1,30+,30+,30,25,15,Not Possible,Not Possible
Fens (upland and lowland),Wetland,V.High,8,High,0.33,High,0.33,3,2.5,2,1.5,1,30,25,20,15,10,Not Possible,Not Possible
Lowland raised bog,Wetland,V.High,8,Very High,0.1,High,0.33,3,2.5,2,1.5,1,30+,30+,30,20,15,Not Possible,Not Possible
Oceanic valley mire[1] (D2.1),Wetland,V.High,8,Very High,0.1,High,0.33,3,2.5,2,1.5,1,30+,30+,30,20,15,Not Possible,Not Possible
Purple moor grass and rush pastures,Wetland,V.High,8,High,0.33,High,0.33,3,2.5,2,1.5,1,30,25,20,15,10,Not Possible,Not Possible
Reedbeds,Wetland,High,6,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,12,10,7,5,3,Not Possible,Not Possible
Transition mires and quaking bogs (H7140),Wetland,V.High,8,Very High,0.1,High,0.33,3,2.5,2,1.5,1,30+,30+,30,25,15,Not Possible,Not Possible
Felled,Woodland and forest,High,6,High,0.33,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,30+,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Lowland beech and yew woodland,Woodland and forest,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,30+,30+,30+,25,10,Not Possible,Not Possible
Lowland mixed deciduous woodland,Woodland and forest,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,30+,30+,30+,25,10,Not Possible,Not Possible
Native pine woodlands,Woodland and forest,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,30+,30+,30+,25,10,Not Possible,Not Possible
Other coniferous woodland,Woodland and forest,Low,2,Low,1,Low,1,3,2.5,2,1.5,1,30+,30+,30,10,5,Not Possible,Not Possible
Other Scot's pine woodland,Woodland and forest,Medium,4,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,30+,30+,30+,25,10,Not Possible,Not Possible
Other woodland; broadleaved,Woodland and forest,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,30+,25,15,7,5,Not Possible,Not Possible
Other woodland; mixed,Woodland and forest,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,30+,30+,30,10,5,Not Possible,Not Possible
Upland birchwoods,Woodland and forest,High,6,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,30+,30,25,20,10,Not Possible,Not Possible
Upland mixed ashwoods,Woodland and forest,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,30+,30+,30+,25,10,Not Possible,Not Possible
Upland oakwood,Woodland and forest,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,30+,30+,30+,25,10,Not Possible,Not Possible
Wet woodland,Woodland and forest,High,6,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,30+,30,15,10,5,Not Possible,Not Possible
Wood-pasture and parkland,Woodland and forest,V.High,8,Very High,0.1,High,0.33,3,2.5,2,1.5,1,30+,30+,30+,25,10,Not Possible,Not Possible
Coastal lagoons,Coastal lagoons,High,6,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,10,8,5,3,1,Not Possible,Not Possible
High energy littoral rock,Rocky shore,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,10,7,4,2,1,Not Possible,Not Possible
"High energy littoral rock - on peat, clay or chalk",Rocky shore,V.High,8,Very High,0.1,Medium,0.67,3,2.5,2,1.5,1,30+,30+,30+,30+,30+,Not Possible,Not Possible
Moderate energy littoral rock,Rocky shore,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,13,8,4,2,1,Not Possible,Not Possible
"Moderate energy littoral rock - on peat, clay or chalk",Rocky shore,V.High,8,Very High,0.1,Medium,0.67,3,2.5,2,1.5,1,30+,30+,30+,30+,30+,Not Possible,Not Possible
Low energy littoral rock,Rocky shore,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,15,10,5,1,1,Not Possible,Not Possible
"Low energy littoral rock - on peat, clay or chalk",Rocky shore,V.High,8,Very High,0.1,Medium,0.67,3,2.5,2,1.5,1,30+,30+,30+,30+,30+,Not Possible,Not Possible
Features of littoral rock,Rocky shore,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,13,8,4,2,1,Not Possible,Not Possible
"Features of littoral rock - on peat, clay or chalk",Rocky shore,V.High,8,Very High,0.1,Medium,0.67,3,2.5,2,1.5,1,30+,30+,30+,30+,30+,Not Possible,Not Possible
Saltmarshes and saline reedbeds,Intertidal sediment,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,3,2,1,1,1,Not Possible,Not Possible
Artificial saltmarshes and saline reedbeds,Intertidal sediment,Low,2,High,0.33,Medium,0.67,3,2.5,2,1.5,1,6,4,3,2,1,Not Possible,Not Possible
Littoral coarse sediment,Intertidal sediment,Medium,4,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Littoral mud,Coastal saltmarsh,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,15,10,7,3,1,Not Possible,Not Possible
Littoral mixed sediments,Coastal saltmarsh,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,15,10,7,3,1,Not Possible,Not Possible
Littoral seagrass,Intertidal sediment,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,20,15,10,5,2,Not Possible,Not Possible
"Littoral seagrass on peat, clay or chalk",Intertidal sediment,V.High,8,Very High,0.1,High,0.33,3,2.5,2,1.5,1,30+,30+,30+,30+,30+,Not Possible,Not Possible
Littoral biogenic reefs - Mussels,Intertidal sediment,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,15,10,5,3,3,Not Possible,Not Possible
Littoral biogenic reefs - Sabellaria,Intertidal sediment,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,15,10,5,3,3,Not Possible,Not Possible
Features of littoral sediment,Intertidal sediment,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,10,7,5,3,3,Not Possible,Not Possible
Artificial littoral coarse sediment,Intertidal sediment,Low,2,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,3,2,1,1,1,Not Possible,Not Possible
Artificial littoral mud,Intertidal sediment,Low,2,High,0.33,Medium,0.67,3,2.5,2,1.5,1,6,4,3,2,1,Not Possible,Not Possible
Artificial littoral sand,Intertidal sediment,Low,2,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,4,2,1,1,1,Not Possible,Not Possible
Artificial littoral muddy sand,Intertidal sediment,Low,2,High,0.33,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Artificial littoral mixed sediments,Intertidal sediment,Low,2,High,0.33,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Artificial littoral seagrass,Intertidal sediment,Low,2,High,0.33,High,0.33,3,2.5,2,1.5,1,20,15,10,5,2,Not Possible,Not Possible
Artificial littoral biogenic reefs,Intertidal sediment,Low,2,High,0.33,Medium,0.67,3,2.5,2,1.5,1,15,10,5,3,3,Not Possible,Not Possible
Littoral sand,Intertidal sediment,Medium,4,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,4,2,1,1,1,Not Possible,Not Possible
Littoral muddy sand,Intertidal sediment,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Artificial hard structures,Intertidal hard structures,Low,2,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,15,10,5,2,1,Not Possible,Not Possible
Artificial features of hard structures,Intertidal hard structures,Low,2,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,13,8,4,2,1,Not Possible,Not Possible
Artificial hard structures with integrated greening of grey infrastructure (IGGI),Intertidal hard structures,Medium,4,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,13,8,4,2,1,Not Possible,Not Possible
Watercourse footprint,Watercourse footprint,V.low,0,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,0
Rural tree,Individual trees,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,30+,30+,27,19,10,Not Possible,Not Possible
Species-rich native hedgerow with trees - associated with bank or ditch,Hedgerow,V.High,8,Low,1,Low,1,3,,2,,1,20,,10,,1,1,1
Species-rich native hedgerow with trees,Hedgerow,High,6,Low,1,Low,1,3,,2,,1,20,,10,,1,1,1
Species-rich native hedgerow - associated with bank or ditch,Hedgerow,High,6,Low,1,Low,1,3,,2,,1,12,,5,,1,1,1
Native hedgerow with trees - associated with bank or ditch,Hedgerow,High,6,Low,1,Low,1,3,,2,,1,20,,10,,1,1,1
Species-rich native hedgerow,Hedgerow,Medium,4,Low,1,Low,1,3,,2,,1,12,,5,,1,1,1
Native hedgerow - associated with bank or ditch,Hedgerow,Medium,4,Low,1,Low,1,3,,2,,1,12,,5,,1,1,1
Native hedgerow with trees,Hedgerow,Medium,4,Low,1,Low,1,3,,2,,1,20,,10,,1,1,1
Ecologically valuable line of trees,Hedgerow,Medium,4,Low,1,Low,1,3,,2,,1,30+,,20,,5,1,1
Ecologically valuable line of trees - associated with bank or ditch,Hedgerow,Medium,4,Low,1,Low,1,3,,2,,1,30+,,20,,5,1,1
Native hedgerow,Hedgerow,Low,2,Low,1,Low,1,3,,2,,1,12,,5,,1,1,1
Line of trees,Hedgerow,Low,2,Low,1,Low,1,3,,2,,1,30+,,20,,5,1,1
Line of trees - associated with bank or ditch,Hedgerow,Low,2,Low,1,Low,1,3,,2,,1,30+,,20,,5,1,1
Non-native and ornamental hedgerow,Hedgerow,V.Low,1,Low,1,Low,1,3,,2,,1,Not Possible,,Not Possible,,1,1,1
Priority habitat,Watercourses,V.High,8,High,0.33,Medium,0.67,3,2.5,2,1.5,1,10,8,5,2,1,1,1
Other rivers and streams,Watercourses,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,10,8,5,2,1,1,1
Ditches,Watercourses,Medium,4,Medium,0.67,Low,1,3,2.5,2,1.5,1,10,8,5,2,1,1,1
Canals,Watercourses,Medium,4,Medium,0.67,Low,1,3,2.5,2,1.5,1,10,8,5,2,1,1,1
Culvert,Watercourses,Low,2,Medium,0.67,N/A,1,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible,Not Possible,Not Possible,Not Possible,1,1,1
undefined,,V.Low,0,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,0,0
